class,sequence_id,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42
clap,1,-488.123046875,166.050048828125,18.125072479248047,8.997119903564453,16.482168197631836,25.53651237487793,9.894562721252441,9.29129695892334,3.366729497909546,6.380578994750977,11.764260292053223,-3.6345670223236084,-16.024459838867188,-9.597929954528809,-1.8872946500778198,3.3911757469177246,0.5519788861274719,-0.361120343208313,-0.6485967040061951,0.9976238012313843,-0.3042468726634979,-0.4968464970588684,0.3635139763355255,-0.5123807191848755,0.9654482007026672,0.9583608508110046,-1.6243053674697876,-2.693695306777954,-0.12492386996746063,0.4394822120666504,0.1648561954498291,-0.4573115408420563,-0.33502739667892456,-0.36686971783638,0.4312851130962372,0.4734722375869751,0.08667705208063126,0.8123271465301514,0.8404768109321594,938.9458916457927,1625.2674449573863,0.017555930397727272,0.01059570163488388
clap,1,-505.59210205078125,156.989990234375,29.056629180908203,12.895679473876953,15.908939361572266,23.540491104125977,12.640475273132324,8.768067359924316,1.5093432664871216,5.9191060066223145,10.281229019165039,-1.9475139379501343,-12.801871299743652,-0.5494017601013184,1.6716728210449219,0.3280545175075531,0.3006552457809448,0.4372524917125702,0.11208295822143555,0.20470160245895386,0.6366509795188904,-0.09281980991363525,-0.4964626431465149,-0.2461971640586853,-0.5084413886070251,-0.7770944833755493,4.036961078643799,1.128017544746399,0.061752818524837494,-0.10396725684404373,-0.0782446637749672,0.13851426541805267,0.3167252838611603,0.6777666211128235,-0.21663665771484375,-0.5860089659690857,-0.1378818303346634,-0.6232785582542419,-0.4073105752468109,975.3725063762905,1712.3790394176137,0.015247691761363636,0.008611197583377361
clap,1,-526.8970336914062,161.68148803710938,31.96294403076172,10.626206398010254,18.148317337036133,24.72785758972168,14.83901309967041,10.90092945098877,2.023327112197876,7.036834716796875,9.106645584106445,-1.8529956340789795,-15.093160629272461,-7.045249938964844,-0.7092430591583252,3.2571799755096436,0.27842196822166443,-0.22723931074142456,-0.3898266553878784,1.3123942613601685,0.14759968221187592,-0.6165437698364258,0.21746650338172913,-0.47535470128059387,0.6432182788848877,0.46295565366744995,-2.2526378631591797,-1.7573410272598267,-0.18786825239658356,0.4901106059551239,-0.19219359755516052,0.15103711187839508,-0.11887099593877792,-0.35206517577171326,0.3203156888484955,0.43117019534111023,-0.03760526329278946,0.16336052119731903,0.6060478091239929,866.0749267765935,1263.607510653409,0.01691228693181818,0.008771325461566448
clap,1,-565.9234619140625,152.00791931152344,43.029964447021484,14.971080780029297,18.217803955078125,21.442970275878906,16.876951217651367,10.58425235748291,1.6208809614181519,11.826883316040039,7.360295295715332,4.279317378997803,-12.42395305633545,-3.970479726791382,-3.982923984527588,0.41477644443511963,1.3599531650543213,0.31482163071632385,-1.4553428888320923,-0.5641040205955505,-0.12252914905548096,0.896016538143158,0.5579901337623596,-0.7578061819076538,1.2945287227630615,1.6239265203475952,-1.6597565412521362,0.0801161453127861,-0.12824593484401703,-0.20993345975875854,0.145143061876297,-0.20529283583164215,-0.3261161744594574,-0.025343386456370354,0.28435418009757996,0.5151267051696777,0.3879759609699249,0.4773494601249695,-0.06581170111894608,893.0820216045581,1392.806729403409,0.013560901988636364,0.005745152942836285
clap,1,-585.6675415039062,143.6471405029297,45.68815612792969,18.564603805541992,18.031850814819336,15.06710147857666,14.254537582397461,9.53569221496582,3.509150505065918,12.781964302062988,4.1484293937683105,8.25338077545166,-7.245344161987305,-0.22807858884334564,0.8711794018745422,0.17432232201099396,0.23807740211486816,-0.3888845443725586,0.015007441863417625,-0.6708645820617676,-0.3910679817199707,-0.09278993308544159,-0.4065098464488983,0.23047412931919098,-0.21670489013195038,0.1592046171426773,2.0289039611816406,0.8665878772735596,-0.3118278384208679,-0.29682210087776184,-0.27120402455329895,0.16351176798343658,0.040239449590444565,0.14828592538833618,-0.16649354994297028,-0.5157920718193054,0.057028185576200485,-0.7714117169380188,-0.25247180461883545,965.5204789261429,1436.3625266335227,0.013738458806818182,0.004169445019215345
clap,1,-594.787353515625,142.62713623046875,46.476261138916016,20.18191909790039,17.105165481567383,13.634690284729004,12.192188262939453,9.934029579162598,5.062655448913574,14.080699920654297,4.277459144592285,8.36116886138916,-5.5345964431762695,-5.509527206420898,-0.49095800518989563,0.6618887186050415,0.32341468334198,0.13616932928562164,-0.7762455344200134,-0.4876571595668793,-0.20233726501464844,0.6416944265365601,1.3593779802322388,-0.04817141219973564,0.7349135875701904,0.2732033133506775,-3.3218789100646973,-1.3556746244430542,0.3403432369232178,0.5674182772636414,0.021547019481658936,-0.5374724268913269,-0.09118268638849258,-0.07059769332408905,0.2164168804883957,0.4921547770500183,-0.19535785913467407,0.9829326868057251,0.6949204802513123,931.6063963984066,1359.0387517755682,0.01187411221590909,0.004181412048637867
clap,1,-614.7392578125,139.5928192138672,47.47260665893555,21.863990783691406,16.627975463867188,10.091404914855957,10.12484359741211,8.18184757232666,6.7032060623168945,17.587520599365234,2.973050594329834,12.14422607421875,-2.8960866928100586,-1.9812800884246826,0.09364251792430878,0.3891203701496124,0.6588556170463562,-0.29975852370262146,-0.45301705598831177,-0.8350189328193665,-0.6964213848114014,-0.12824660539627075,-0.06685003638267517,-0.016843993216753006,0.5759834051132202,0.7158260941505432,1.0606300830841064,0.1905795931816101,-0.6388294696807861,-0.3515380620956421,-0.2867053151130676,-0.03741404414176941,-0.10696034878492355,0.1461632400751114,0.08628122508525848,-0.17714276909828186,0.08113587647676468,-0.5864754319190979,-0.19898852705955505,973.1726841288705,1449.0866921164773,0.01180752840909091,0.002756368601694703
clap,1,-614.09130859375,137.56790161132812,45.6152458190918,23.8208065032959,15.284307479858398,9.760669708251953,8.229520797729492,7.627753734588623,7.607910633087158,15.944168090820312,3.2205772399902344,11.036284446716309,-1.3387612104415894,-2.5048556327819824,1.1775192022323608,0.524108350276947,0.4864097833633423,0.10996486991643906,0.06820854544639587,-0.4277113676071167,-0.42011305689811707,-0.12317487597465515,-0.07354766875505447,0.06853215396404266,-0.4588572680950165,-0.4708958566188812,0.22627340257167816,-0.21915583312511444,-0.21608123183250427,0.009810014627873898,-0.0964425802230835,0.08899599313735962,-0.0002877929073292762,-0.07808002829551697,-0.14111648499965668,-0.28467950224876404,-0.14058557152748108,-0.27867698669433594,-0.17400763928890228,986.9612342893132,1579.7540838068182,0.010697798295454546,0.0026887375861406326
clap,1,-620.9371337890625,134.55621337890625,50.39385986328125,22.9144344329834,11.539916038513184,12.796309471130371,8.268718719482422,7.197715759277344,4.750195503234863,16.091663360595703,1.1138224601745605,10.806036949157715,-2.0111515522003174,2.705270528793335,-2.3246843814849854,0.9558488726615906,-0.5624331831932068,-1.5180644989013672,1.0577449798583984,0.06817734986543655,0.2741195857524872,-0.6212440133094788,-0.0004683191073127091,-0.5803518295288086,-0.06011280044913292,-0.08895272761583328,2.551666021347046,-2.383760452270508,0.11046678572893143,-0.634141743183136,-0.8647727966308594,0.3032599687576294,0.178304523229599,0.6020688414573669,-0.01804373413324356,0.20249028503894806,-0.27309998869895935,0.20554399490356445,0.48963406682014465,1218.9847295044246,1809.2784534801137,0.013560901988636364,0.00245866272598505
clap,1,-611.051025390625,129.25372314453125,50.7032470703125,23.200641632080078,9.653675079345703,15.017559051513672,8.72127628326416,9.549308776855469,4.265910625457764,15.51599407196045,1.7138782739639282,9.831194877624512,-2.575425148010254,2.688347101211548,-1.3907687664031982,0.35179629921913147,0.17140522599220276,-0.5141730904579163,0.5635608434677124,-0.3767600357532501,-0.0290770772844553,-0.45083102583885193,-0.41940805315971375,-0.16447687149047852,-0.268745481967926,-0.09210097044706345,-2.521564483642578,1.987099051475525,-0.9586746096611023,0.3794042766094208,0.7958991527557373,-0.47445565462112427,0.09114161133766174,-0.4919680655002594,0.2583823502063751,-0.48114243149757385,0.3156019449234009,-0.32555678486824036,-0.5166007280349731,1328.902316630505,2279.583185369318,0.015602805397727272,0.002556536113843322
